"DATE";"COUNTY";"VACCINE_COUNT";"NEW_VACCINE_COUNT";"RECIPIENT_COUNT";"NEW_RECIPIENT_COUNT";"RECIP_FULLY_VACC";"NEW_RECIP_FULLY_VACC";"id"
"2021-04-25";"RHEA";15019;29;"9268";"18";"7129";"11";"20210425_RHEA"
"2021-05-05";"MARSHALL";20134;314;"11586";"70";"8761";"271";"20210505_MARSHALL"
"2021-05-14";"SMITH";8249;39;"4480";"12";"3830";"26";"20210514_SMITH"
"2021-05-22";"VAN BUREN";4419;10;"2371";"4";"2132";"6";"20210522_VAN BUREN"
"2021-05-24";"ROBERTSON";45707;84;"24743";"46";"21595";"44";"20210524_ROBERTSON"
"2021-02-09";"HAYWOOD";2648;26;"1919";"20";"722";"6";"20210209_HAYWOOD"
"2021-02-20";"CLAY";1153;5;"779";"2";"373";"3";"20210220_CLAY"
"2021-03-29";"WARREN";13825;209;"8753";"17";"5203";"193";"20210329_WARREN"
"2021-04-09";"PICKETT";2664;24;"1610";"9";"1175";"17";"20210409_PICKETT"
"2021-04-12";"BLEDSOE";4358;15;"2948";"11";"1746";"7";"20210412_BLEDSOE"
"2021-05-01";"RHEA";15797;97;"9565";"81";"7631";"21";"20210501_RHEA"
"2021-05-17";"OBION";15204;13;"8178";"5";"6901";"8";"20210517_OBION"
"2021-05-18";"RUTHERFORD";192105;2018;"109063";"885";"90449";"1213";"20210518_RUTHERFORD"
"2021-06-01";"BLEDSOE";6839;10;"3906";"3";"3334";"8";"20210601_BLEDSOE"
"2021-06-01";"UNICOI";13411;13;"7151";"7";"6351";"5";"20210601_UNICOI"
"2021-06-04";"BENTON";10879;91;"5820";"41";"5032";"50";"20210604_BENTON"
"2020-12-18";"FRANKLIN";2;0;"";"";"";"";"20201218_FRANKLIN"
"2020-12-23";"CLAY";26;24;"";"";"";"";"20201223_CLAY"
"2021-01-07";"DECATUR";511;6;"510";"5";"";"";"20210107_DECATUR"
"2021-01-20";"GIBSON";3544;294;"3038";"157";"505";"137";"20210120_GIBSON"
"2021-02-01";"DAVIDSON";72489;1952;"49469";"1212";"22897";"731";"20210201_DAVIDSON"
"2021-03-20";"LAKE";1933;11;"1253";"10";"785";"2";"20210320_LAKE"
"2021-03-26";"OBION";9931;115;"6091";"43";"3797";"72";"20210326_OBION"
"2021-04-02";"LAWRENCE";13735;263;"8758";"174";"4976";"90";"20210402_LAWRENCE"
"2021-04-05";"PICKETT";2518;33;"1570";"9";"1063";"27";"20210405_PICKETT"
"2021-04-10";"TROUSDALE";4071;71;"2603";"41";"1865";"43";"20210410_TROUSDALE"
"2021-04-18";"HUMPHREYS";7754;8;"4721";"5";"3238";"3";"20210418_HUMPHREYS"
"2021-04-21";"WILLIAMSON";163078;3507;"100658";"1197";"65602";"2272";"20210421_WILLIAMSON"
"2021-04-22";"DEKALB";9040;50;"5328";"26";"3861";"23";"20210422_DEKALB"
"2021-04-22";"MORGAN";12239;195;"7475";"61";"5181";"132";"20210422_MORGAN"
"2021-04-28";"COCKE";21471;396;"12320";"80";"9799";"313";"20210428_COCKE"
"2021-04-30";"MACON";8612;47;"4864";"20";"3854";"35";"20210430_MACON"
"2021-05-06";"BRADLEY";49949;803;"28608";"168";"22404";"637";"20210506_BRADLEY"
"2021-05-17";"PUTNAM";53605;71;"28892";"47";"25765";"24";"20210517_PUTNAM"
"2021-05-19";"LAKE";3572;4;"2134";"3";"1654";"4";"20210519_LAKE"
"2021-05-25";"WILSON";97302;373;"53075";"184";"46111";"214";"20210525_WILSON"
"2021-05-29";"LAUDERDALE";14214;21;"7864";"12";"6740";"9";"20210529_LAUDERDALE"
"2021-05-29";"OVERTON";10991;17;"5845";"9";"5269";"7";"20210529_OVERTON"
"2020-12-30";"JOHNSON";225;134;"";"";"";"";"20201230_JOHNSON"
"2021-01-16";"MCMINN";1905;9;"1862";"8";"43";"1";"20210116_MCMINN"
"2021-03-31";"WASHINGTON";67375;1654;"42425";"1196";"25042";"469";"20210331_WASHINGTON"
"2021-04-02";"TIPTON";17007;307;"11307";"240";"6034";"132";"20210402_TIPTON"
"2021-04-20";"CAMPBELL";18049;112;"11009";"44";"7559";"66";"20210420_CAMPBELL"
"2021-04-24";"ANDERSON";48717;437;"29400";"155";"20206";"280";"20210424_ANDERSON"
"2021-04-26";"OVERTON";9418;79;"5418";"6";"4116";"73";"20210426_OVERTON"
"2021-05-06";"CAMPBELL";20426;220;"11600";"34";"9352";"188";"20210506_CAMPBELL"
"2021-05-07";"ANDERSON";54933;596;"30723";"98";"25143";"502";"20210507_ANDERSON"
"2021-05-20";"HUMPHREYS";9720;82;"5339";"47";"4584";"33";"20210520_HUMPHREYS"
"2021-05-22";"COCKE";24342;109;"13253";"42";"11707";"47";"20210522_COCKE"
"2020-12-30";"KNOX";9276;1571;"";"";"";"";"20201230_KNOX"
"2021-02-18";"MACON";3221;7;"2207";"5";"1006";"2";"20210218_MACON"
"2021-02-20";"COCKE";5618;246;"3979";"113";"1630";"133";"20210220_COCKE"
"2021-03-18";"DEKALB";5851;62;"3833";"47";"2019";"13";"20210318_DEKALB"
"2021-03-20";"CHEATHAM";11824;174;"7945";"135";"3890";"48";"20210320_CHEATHAM"
"2021-03-29";"LINCOLN";10842;91;"6771";"76";"4059";"14";"20210329_LINCOLN"
"2021-05-01";"GREENE";38904;166;"21899";"61";"17385";"108";"20210501_GREENE"
"2021-05-26";"HAYWOOD";11388;52;"6288";"24";"5268";"28";"20210526_HAYWOOD"
"2021-01-03";"JEFFERSON";1329;0;"";"";"";"";"20210103_JEFFERSON"
"2021-01-05";"LOUDON";1547;312;"1543";"";"";"";"20210105_LOUDON"
"2021-01-16";"MCNAIRY";1694;37;"1627";"36";"67";"1";"20210116_MCNAIRY"
"2021-01-30";"FAYETTE";5040;187;"3492";"166";"1547";"21";"20210130_FAYETTE"
"2021-02-08";"STEWART";1561;5;"1139";"3";"421";"2";"20210208_STEWART"
"2021-03-05";"SEVIER";17631;891;"11187";"185";"6394";"707";"20210305_SEVIER"
"2021-03-18";"WILSON";40389;858;"26467";"641";"13920";"231";"20210318_WILSON"
"2021-03-30";"PERRY";3055;57;"1868";"11";"1179";"45";"20210330_PERRY"
"2021-04-02";"HAWKINS";21892;434;"13678";"131";"8377";"316";"20210402_HAWKINS"
"2021-04-05";"HICKMAN";8570;128;"5505";"37";"3241";"95";"20210405_HICKMAN"
"2021-04-24";"BEDFORD";19171;109;"11314";"49";"8094";"60";"20210424_BEDFORD"
"2021-05-02";"FENTRESS";7506;1;"4187";"-1";"3427";"2";"20210502_FENTRESS"
"2021-05-21";"BLOUNT";94858;546;"51302";"164";"45509";"391";"20210521_BLOUNT"
"2021-05-30";"RUTHERFORD";205931;736;"115733";"336";"97977";"450";"20210530_RUTHERFORD"
"2021-05-30";"SEQUATCHIE";6584;4;"3610";"0";"3076";"4";"20210530_SEQUATCHIE"
"2021-06-03";"GIBSON";28434;101;"15166";"26";"13426";"71";"20210603_GIBSON"
"2021-06-04";"BLEDSOE";6900;31;"3935";"18";"3370";"13";"20210604_BLEDSOE"
"2020-12-24";"CAMPBELL";242;110;"";"";"";"";"20201224_CAMPBELL"
"2021-01-03";"JOHNSON";491;0;"";"";"";"";"20210103_JOHNSON"
"2021-01-08";"LEWIS";546;10;"540";"6";"";"";"20210108_LEWIS"
"2021-01-09";"STEWART";457;5;"453";"5";"";"";"20210109_STEWART"
"2021-01-23";"WILLIAMSON";18988;544;"13798";"488";"5151";"56";"20210123_WILLIAMSON"
"2021-01-27";"SUMNER";12461;514;"9023";"369";"3429";"144";"20210127_SUMNER"
"2021-01-29";"BLEDSOE";1038;105;"788";"15";"250";"90";"20210129_BLEDSOE"
"2021-03-13";"UNION";3896;110;"2615";"71";"1284";"40";"20210313_UNION"
"2021-03-20";"CHESTER";4922;60;"3108";"43";"1802";"15";"20210320_CHESTER"
"2021-03-20";"PERRY";2680;34;"1737";"33";"935";"1";"20210320_PERRY"
"2021-04-03";"HAWKINS";22078;186;"13815";"137";"8451";"74";"20210403_HAWKINS"
"2021-04-18";"MARSHALL";17333;72;"10685";"35";"6861";"37";"20210418_MARSHALL"
